Token;GroundTruth
have;VERB
several;PRON
of;ADP
these;PRON
on;ADP
hand;NOUN
Works;VERB
great;ADJ
,;COMMA
best;ADJ
thing;NOUN
I;PRON
bought;VERB
this;DET
year;NOUN
It;PRON
would;VERB
not;ADV
hold;VERB
the;DET
charge;NOUN
and;CONJ
we;PRON
could;VERB
not;ADV
get;VERB
it;PRON
to;ADP
work;NOUN
.;PUNCT
This;PRON
is;VERB
an;DET
awesome;ADJ
mouse;NOUN
.;PUNCT
I;PRON
got;VERB
this;PRON
from;ADP
Walmart;NOUN
last;ADJ
year;NOUN
but;CONJ
after;ADP
an;DET
accident;NOUN
in;ADP
the;DET
kitchen;NOUN
,;COMMA
realized;VERB
that;CONJ
they;PRON
don't;VERB
function;VERB
well;ADV
with;ADP
bread;NOUN
dough;NOUN
oozing;VERB
inside;ADV
So;ADV
,;COMMA
I;PRON
got;VERB
online;ADV
to;ADP
find;VERB
another;PRON
and;CONJ
decided;VERB
to;ADP
not;ADV
even;ADV
bother;VERB
going;VERB
through;ADP
the;DET
millions;NUM
of;ADP
mice;NOUN
out;ADV
there;ADV
.;PUNCT
I;PRON
LOVED;VERB
everything;PRON
about;ADV
this;DET
mouse;NOUN
and;CONJ
had;VERB
no;ADV
complaints;NOUN
.;PUNCT
As;CONJ
long;ADJ
as;CONJ
they're;PRON
making;VERB
these;DET
,;COMMA
I'll;PRON
be;VERB
using;VERB
them;PRON
.;PUNCT
Not;ADV
happy;ADJ
at;ADP
all;PRON
its;DET
still;ADV
money;NOUN
you;PRON
have;VERB
to;ADP
spend;VERB
to;ADP
watch;VERB
things;NOUN
Awesome;ADJ
product;NOUN
.;PUNCT
I;PRON
ordered;VERB
this;PRON
for;ADP
my;DET
grandson;NOUN
.;PUNCT
He;PRON
loves;VERB
it;PRON
.;PUNCT
Good;ADJ
quality;NOUN
for;ADP
tv;NOUN
Great;ADJ
mouse;NOUN
Best;ADJ
purchase;NOUN
.;PUNCT
I;PRON
recommend;VERB
the;DET
Fire;NOUN
stick;NOUN
to;ADP
all;PRON
my;DET
family;NOUN
and;CONJ
friends;NOUN
.;PUNCT
I'm;VERB
so;ADV
happy;ADJ
to;ADP
cut;VERB
my;DET
cable;NOUN
bill;NOUN
.;PUNCT
I;PRON
was;VERB
on;ADP
bedrest;NOUN
for;ADP
3;NUM
months;NOUN
during;ADP
my;DET
pregnancy;NOUN
and;CONJ
I;PRON
never;ADV
ran;VERB
out;ADV
of;ADP
shows;NOUN
and;CONJ
movies;NOUN
to;ADP
watch;VERB
.;PUNCT
These;DET
HDMI;NOUN
cables;NOUN
always;ADV
perform;VERB
for;ADP
me;PRON
and;CONJ
the;DET
price;NOUN
is;VERB
unbeatable;ADJ
.;PUNCT
I;PRON
found;VERB
the;DET
Nighthawk;NOUN
very;ADV
easy;ADJ
to;ADP
setup;NOUN
.;PUNCT
123;NUM
.;PUNCT
The;DET
directions;NOUN
were;VERB
good;ADJ
and;CONJ
it;PRON
performed;VERB
fast;ADJ
and;CONJ
without;ADP
problem;NOUN
from;ADP
the;DET
time;NOUN
I;PRON
first;ADV
turned;VERB
it;PRON
on;ADP
.;PUNCT
I;PRON
was;VERB
torn;VERB
on;ADP
my;DET
choice;NOUN
of;ADP
routers;NOUN
but;CONJ
I'm;VERB
glad;ADJ
I;PRON
choose;VERB
NetGear;NOUN
.;PUNCT
Totally;ADV
love;VERB
it;PRON
.;PUNCT
Just;ADV
didnt;VERB
work;VERB
for;ADP
me;PRON
.;PUNCT
Sorry;ADJ
With;ADP
four;DET
people;NOUN
running;VERB
multiple;NOUN
WiFi;NOUN
devices;NOUN
all;PRON
while;CONJ
streaming;NOUN
television;NOUN
this;DET
router;NOUN
works;VERB
great;ADJ
.;PUNCT
Works;VERB
great;ADJ
.;PUNCT
